Date,Underlying_Price,LETF_Price,Underlying_Return,LETF_Return,Rolling_Beta_20D,Rolling_Beta_60D,Underlying_NAV,Naive_2x_Underlying_NAV,Theoretical_2x_LETF_NAV,Actual_LETF_NAV,Compounding_Gap,Tracking_Gap,Total_Gap
2024-09-05,30.15999984741211,1.5449950695037842,-0.01405689123997611,-0.0241499647318264,,,0.9859431087600239,0.9718862175200478,0.9718862175200478,0.9758500352681736,0.0,0.00396381774812582,0.00396381774812582
2024-09-06,30.329999923706055,1.5585646629333496,0.005636607332693,0.00878293639728156,,,0.9915004829164787,0.9830009658329575,0.9828424994804813,0.984420864061219,-0.00015846635247618313,0.001578364580737679,0.0014198982282614958
2024-09-09,34.599998474121094,1.999248743057251,0.14078465417593322,0.28274994974831325,,,1.131088535519146,1.262177071038292,1.25958078227802,1.2627658139057198,-0.0025962887602719587,0.003185031627699786,0.0005887428674278272
2024-09-10,34.7599983215332,2.0201733112335205,0.004624273250525723,0.010466215496662823,,,1.1363189979779236,1.2726379959558471,1.271230073714749,1.275982193035876,-0.0014079222410980918,0.004752119321126846,0.0033441970800287546
2024-09-11,34.849998474121094,2.022710084915161,0.0025891874837098428,0.0012557208173844536,,,1.1392611409049898,1.2785222818099795,1.2778129797063047,1.2775844704382828,-0.0007093021036748137,-0.00022850926802187033,-0.000937811371696684
2024-09-12,34.90999984741211,2.0366592407226562,0.0017217037566177318,0.00689627045987673,,,1.1412226110910544,1.2824452221821088,1.2822130105211351,1.2863950384817635,-0.00023221166097364687,0.004182027960628387,0.00394981629965474
2024-09-13,35.59000015258789,2.1036179065704346,0.019478668236837304,0.032876715215265806,,,1.1634521077168742,1.3269042154337485,1.3321646142029302,1.3286874818162593,0.005260398769181718,-0.0034771323866709114,0.0017832663825108064
2024-09-16,36.310001373291016,2.19391131401062,0.020230436010570507,0.0429229125489774,,,1.186989251133404,1.3739785022668078,1.3860651561692876,1.3857186184031796,0.01208665390247976,-0.000346537766108046,0.011740116136371714
2024-09-17,36.45000076293945,2.2097625732421875,0.0038556701832410667,0.007225113946192296,,,1.1915658901968267,1.3831317803936534,1.3967535763586303,1.3957305933185027,0.013621795964976924,-0.0010229830401276008,0.012598812924849323
2024-09-18,36.380001068115234,2.205324411392212,-0.001920430544829821,-0.0020084338035755156,,,1.1892775706651153,1.3785551413302306,1.3913888398953516,1.3929273608141972,0.012833698565120955,0.001538520918845654,0.014372219483966608
