Date,PLTR_Return,PTIR_Return,Fitted_PTIR_Return,Theoretical_2x_Return,Tracking_Error
2024-09-05,-0.01405689123997611,-0.0241499647318264,-0.02844172941855045,-0.02811378247995222,0.00396381774812582
2024-09-06,0.005636607332693,0.00878293639728156,0.01087347133107308,0.011273214665386,-0.00249027826810444
2024-09-09,0.14078465417593322,0.28274994974831325,0.2806768571010083,0.28156930835186644,0.001180641396446802
2024-09-10,0.004624273250525723,0.010466215496662823,0.008852493823230594,0.009248546501051447,0.0012176689956113762
2024-09-11,0.0025891874837098428,0.0012557208173844536,0.004789741581934751,0.0051783749674196855,-0.003922654150035232
2024-09-12,0.0017217037566177318,0.00689627045987673,0.0030579367047155388,0.0034434075132354636,0.0034528629466412664
2024-09-13,0.019478668236837304,0.032876715215265806,0.03850712927289765,0.03895733647367461,-0.006080621258408803
2024-09-16,0.020230436010570507,0.0429229125489774,0.04000792410792186,0.040460872021141014,0.0024620405278363844
2024-09-17,0.0038556701832410667,0.007225113946192296,0.007318089777369016,0.007711340366482133,-0.000486226420289837
2024-09-18,-0.001920430544829821,-0.0020084338035755156,-0.004213053804671301,-0.003840861089659642,0.0018324272860841262
2024-09-19,0.012369454363041488,0.023749051466080084,0.024314619517003633,0.024738908726082975,-0.000989857260002891
2024-09-20,0.010046128522665176,0.016120957075233866,0.019676437962612477,0.020092257045330353,-0.003971299970096487
2024-09-23,0.020161289909090163,0.03897192430949814,0.039869883990229095,0.040322579818180326,-0.0013506555086821859
2024-09-24,-0.02766796352968548,-0.051343661302624466,-0.055614252244444426,-0.05533592705937096,0.003992265756746494
2024-09-25,0.005961989076113339,0.007852096978480105,0.011523048576864573,0.011923978152226677,-0.004071881173746572
2024-09-26,-0.0005388054509476436,-0.002782502000354903,-0.00145484059403946,-0.0010776109018952873,-0.0017048910984596155
2024-09-27,-0.0070080412999090624,-0.012834635723209309,-0.014369727461909383,-0.014016082599818125,0.001181446876608816
2024-09-30,0.009772003497841242,0.01893697050132559,0.01912918728789461,0.019544006995682484,-0.000607036494356894
2024-10-01,-0.0198925178303766,-0.03744791295634542,-0.04009170771239411,-0.0397850356607532,0.002337122704407779
2024-10-02,0.028250208992264936,0.055619626239215014,0.056018232463152316,0.05650041798452987,-0.0008807917453148573
2024-10-03,0.046679112340641815,0.0903632897787987,0.0928088530866695,0.09335822468128363,-0.0029949349024849248
2024-10-04,0.019622747454900002,0.04056086021311023,0.03879476244082268,0.039245494909800005,0.001315365303310223
2024-10-07,-0.027992976227694255,-0.0563041337184611,-0.05626309274483805,-0.05598595245538851,-0.0003181812630725922
2024-10-08,0.06582672701127446,0.1308005741169731,0.13103427615583882,0.1316534540225489,-0.0008528799055758096
