Date,PLTA,PLTG,PLTR,PLTU,PTIR
2020-09-30,,,9.5,,
2020-10-01,,,9.460000038146973,,
2020-10-02,,,9.199999809265137,,
2020-10-05,,,9.029999732971191,,
2020-10-06,,,9.899999618530273,,
2020-10-07,,,10.0,,
2020-10-08,,,10.0,,
2020-10-09,,,9.949999809265137,,
2020-10-12,,,9.890000343322754,,
2020-10-13,,,9.470000267028809,,
2020-10-14,,,9.34000015258789,,
2020-10-15,,,9.90999984741211,,
2020-10-16,,,9.710000038146973,,
2020-10-19,,,9.569999694824219,,
2020-10-20,,,9.270000457763672,,
2020-10-21,,,9.199999809265137,,
2020-10-22,,,9.680000305175781,,
2020-10-23,,,9.489999771118164,,
2020-10-26,,,9.949999809265137,,
2020-10-27,,,10.949999809265137,,
2020-10-28,,,10.850000381469727,,
2020-10-29,,,10.75,,
2020-10-30,,,10.130000114440918,,
2020-11-02,,,10.539999961853027,,
2020-11-03,,,10.5,,
2020-11-04,,,10.720000267028809,,
2020-11-05,,,11.880000114440918,,
2020-11-06,,,13.829999923706055,,
2020-11-09,,,14.670000076293945,,
2020-11-10,,,14.0,,
2020-11-11,,,15.960000038146973,,
2020-11-12,,,14.579999923706055,,
2020-11-13,,,15.800000190734863,,
2020-11-16,,,15.930000305175781,,
2020-11-17,,,17.850000381469727,,
2020-11-18,,,17.899999618530273,,
2020-11-19,,,18.979999542236328,,
2020-11-20,,,18.149999618530273,,
2020-11-23,,,21.040000915527344,,
2020-11-24,,,23.81999969482422,,
2020-11-25,,,29.049999237060547,,
2020-11-27,,,27.65999984741211,,
2020-11-30,,,27.110000610351562,,
2020-12-01,,,25.670000076293945,,
2020-12-02,,,22.510000228881836,,
2020-12-03,,,24.030000686645508,,
2020-12-04,,,23.850000381469727,,
2020-12-07,,,28.940000534057617,,
2020-12-08,,,28.59000015258789,,
2020-12-09,,,26.6299991607666,,
2020-12-10,,,27.040000915527344,,
2020-12-11,,,27.200000762939453,,
2020-12-14,,,27.239999771118164,,
2020-12-15,,,26.43000030517578,,
2020-12-16,,,25.920000076293945,,
2020-12-17,,,27.229999542236328,,
2020-12-18,,,25.969999313354492,,
2020-12-21,,,28.510000228881836,,
2020-12-22,,,28.040000915527344,,
2020-12-23,,,28.690000534057617,,
2020-12-24,,,27.75,,
2020-12-28,,,25.6299991607666,,
2020-12-29,,,24.65999984741211,,
2020-12-30,,,25.100000381469727,,
2020-12-31,,,23.549999237060547,,
2021-01-04,,,23.3700008392334,,
2021-01-05,,,24.600000381469727,,
2021-01-06,,,23.540000915527344,,
2021-01-07,,,25.0,,
2021-01-08,,,25.200000762939453,,
2021-01-11,,,25.93000030517578,,
2021-01-12,,,26.18000030517578,,
2021-01-13,,,25.5,,
2021-01-14,,,24.920000076293945,,
2021-01-15,,,25.639999389648438,,
2021-01-19,,,26.6200008392334,,
2021-01-20,,,26.34000015258789,,
2021-01-21,,,25.979999542236328,,
2021-01-22,,,32.58000183105469,,
2021-01-25,,,36.22999954223633,,
2021-01-26,,,35.369998931884766,,
2021-01-27,,,39.0,,
2021-01-28,,,35.65999984741211,,
2021-01-29,,,35.18000030517578,,
2021-02-01,,,33.959999084472656,,
2021-02-02,,,31.020000457763672,,
2021-02-03,,,31.760000228881836,,
2021-02-04,,,32.04999923706055,,
2021-02-05,,,34.04999923706055,,
2021-02-08,,,36.04999923706055,,
2021-02-09,,,38.16999816894531,,
2021-02-10,,,35.70000076293945,,
2021-02-11,,,33.11000061035156,,
2021-02-12,,,31.90999984741211,,
2021-02-16,,,27.84000015258789,,
2021-02-17,,,27.079999923706055,,
2021-02-18,,,25.170000076293945,,
2021-02-19,,,29.0,,
2021-02-22,,,28.0,,
2021-02-23,,,26.75,,
2021-02-24,,,26.389999389648438,,
2021-02-25,,,23.959999084472656,,
2021-02-26,,,23.899999618530273,,
2021-03-01,,,24.809999465942383,,
2021-03-02,,,24.479999542236328,,
2021-03-03,,,23.59000015258789,,
2021-03-04,,,24.729999542236328,,
2021-03-05,,,23.950000762939453,,
2021-03-08,,,22.520000457763672,,
2021-03-09,,,24.260000228881836,,
2021-03-10,,,24.75,,
2021-03-11,,,26.729999542236328,,
2021-03-12,,,26.920000076293945,,
2021-03-15,,,26.790000915527344,,
2021-03-16,,,25.610000610351562,,
2021-03-17,,,25.209999084472656,,
2021-03-18,,,23.979999542236328,,
2021-03-19,,,24.31999969482422,,
2021-03-22,,,24.219999313354492,,
2021-03-23,,,23.260000228881836,,
2021-03-24,,,21.8799991607666,,
2021-03-25,,,22.579999923706055,,
2021-03-26,,,22.579999923706055,,
2021-03-29,,,21.729999542236328,,
2021-03-30,,,22.040000915527344,,
2021-03-31,,,23.290000915527344,,
2021-04-01,,,23.06999969482422,,
2021-04-05,,,23.440000534057617,,
2021-04-06,,,23.270000457763672,,
2021-04-07,,,22.899999618530273,,
2021-04-08,,,23.40999984741211,,
