Date,NAV,Running Peak,Drawdown
2024-09-05,1.0241499647318264,1.0241499647318264,0.0
2024-09-06,1.0151549207303086,1.0241499647318264,-0.008782936397281671
2024-09-09,0.7281199179070609,1.0241499647318264,-0.28904951132062084
2024-09-10,0.7204992579388332,1.0241499647318264,-0.29649047234259696
2024-09-11,0.7195945120217293,1.0241499647318264,-0.2973738839017047
2024-09-12,0.7146319936453844,1.0241499647318264,-0.3022193836304913
2024-09-13,0.6911372411065875,1.0241499647318264,-0.32516011823760427
2024-09-16,0.661471617747228,1.0241499647318264,-0.3541262114670538
2024-09-17,0.6566924099368321,1.0241499647318264,-0.3587927231840632
2024-09-18,0.6580113331715007,1.0241499647318264,-0.3575049008142075
2024-09-19,0.6423841881547468,1.0241499647318264,-0.372763549991475
2024-09-20,0.6320283402316952,1.0241499647318264,-0.38287520187808455
2024-09-23,0.6073969795947278,1.0241499647318264,-0.40692574280000615
2024-09-24,0.6385829643912766,1.0241499647318264,-0.37647513901102414
2024-09-25,0.633568749026071,1.0241499647318264,-0.38137111668800294
2024-09-26,0.6353316553375984,1.0241499647318264,-0.37964978058270993
2024-09-27,0.6434859056972801,1.0241499647318264,-0.371687811495676
2024-09-30,0.631300232083072,1.0241499647318264,-0.38358614087500564
2024-10-01,0.6549411082234395,1.0241499647318264,-0.3605027283334079
2024-10-02,0.6185135285753546,1.0241499647318264,-0.3960713275645015
2024-10-03,0.5626226113605926,1.0241499647318264,-0.4506443091975155
2024-10-04,0.5398021542684606,1.0241499647318264,-0.4729266485794317
2024-10-07,0.5701952469439053,1.0241499647318264,-0.44325024012161063
2024-10-08,0.49561338128487326,1.0241499647318264,-0.5160734283531909
2024-10-09,0.4551597596019388,1.0241499647318264,-0.5555731335487354
2024-10-10,0.447758799503452,1.0241499647318264,-0.5627995753329957
2024-10-11,0.44803435889451454,1.0241499647318264,-0.5625305137692093
2024-10-14,0.45042526256478943,1.0241499647318264,-0.5601959887947335
2024-10-15,0.4703161467498477,1.0241499647318264,-0.5407741415360006
2024-10-16,0.4819928801207916,1.0241499647318264,-0.5293727513362738
2024-10-17,0.48113915391456996,1.0241499647318264,-0.5302063462546169
2024-10-18,0.4583847942054242,1.0241499647318264,-0.5524241468626596
2024-10-21,0.46505890474105177,1.0241499647318264,-0.5459074151676337
2024-10-22,0.4595817063923156,1.0241499647318264,-0.5512554584594873
2024-10-23,0.4662930335882331,1.0241499647318264,-0.5447023876915019
2024-10-24,0.44606294648103306,1.0241499647318264,-0.5644554392990341
2024-10-25,0.4192515284107057,1.0241499647318264,-0.5906346308174832
2024-10-28,0.41697205571742724,1.0241499647318264,-0.5928603524127335
2024-10-29,0.4184215437515931,1.0241499647318264,-0.5914450440261874
2024-10-30,0.44096438727253756,1.0241499647318264,-0.5694337719495952
2024-10-31,0.4851330545950308,1.0241499647318264,-0.5263066237354577
2024-11-01,0.4759671796418758,1.0241499647318264,-0.5352563628057071
2024-11-04,0.48713261825735726,1.0241499647318264,-0.5243542107772148
2024-11-05,0.2581100984171214,1.0241499647318264,-0.747976265873614
2024-11-06,0.21336455627139644,1.0241499647318264,-0.791666685916192
