start,end,n_sh,reserved,tier,net_cost_pct,has_put,ceiling,open_at_end
2022-08-22,2022-09-02,0.0403225818856326,0.07056454906354545,TSLL anchor,7.056454906354545,True,True,False
2022-09-02,2022-10-03,0.03012710291402874,0.08827239774701104,TSLL anchor,13.156710740950558,True,True,False
2022-10-03,2022-10-11,0.053705690382835174,0.05531681602271117,TSLL anchor,5.531681602271117,True,True,False
2022-10-17,2022-11-09,0.044372324194978455,0.10560613666205831,TSLL anchor,14.996850230645578,False,True,False
2022-12-14,2022-12-22,0.09628738852143828,0.11554484051421929,TSLL anchor-rlx,13.015181108643256,False,True,False
2022-12-23,2023-02-16,0.15847860682539122,0.08557845675392992,TSLL anchor-rlx,8.557845675392992,True,True,False
2023-02-16,2023-04-24,0.07923930341269562,0.13470682486980132,TSLL anchor,13.470682486980131,True,False,False
2023-04-24,2023-06-20,0.1140250795670993,0.013682957351512834,TSLL anchor-rlx,1.3682957351512834,True,False,False
2023-06-20,2023-09-18,0.053050396804396785,0.05676390434358394,TSLL anchor,5.676390434358395,True,False,False
2023-09-18,2023-12-18,0.05861664896275897,0.06565067814295811,TSLL anchor,6.56506781429581,True,False,False
2023-12-18,2024-03-18,0.06734006561022245,0.08754205960509263,TSLL anchor,8.754205960509264,True,False,False
2024-03-18,2024-06-24,0.12345678430925608,0.10493821956784191,TSLL anchor,10.493821956784192,True,False,False
2024-06-24,2024-09-23,0.04777178492018414,0.047294076182727185,TSLL anchor,12.45283288662588,True,False,False
2024-09-23,2024-12-23,0.005873239620378175,0.0077526789874549085,TSLL anchor,10.369210567401005,True,False,False
2024-12-23,2025-03-24,0.003814610500576101,0.011748998886615958,TSLL anchor,9.670328356800301,True,False,False
2025-03-24,2025-06-23,0.02923904631748529,0.029531441242184542,TSLL anchor,9.050180702485399,True,False,False
2025-06-23,2025-09-22,0.013586046987116488,0.00828748399774204,TSLL anchor-rlx,4.23905241225586,True,False,False
2025-09-22,2025-12-22,0.0046991642675123626,0.010056209739887523,TSLL anchor,10.515968444299912,True,False,False
2025-12-22,2026-03-23,0.005950304923847561,0.01148408895699804,TSLL anchor,8.453789236722193,True,False,False
2026-03-23,2026-06-10,0.028082153778116445,0.0342602329655477,TSLL anchor,9.420851032461048,True,False,True
