Strategy,CAGR,Sharpe,MaxDD,Calmar
Collar (frictionless),0.1568960043882739,0.8986405757968051,-0.1228828564919594,1.2767932717981705
Collar with borrow (realized),0.10407701234834876,0.6796849368613939,-0.15207015160387494,0.6844013190665929
Call-only (frictionless),0.1400325266857192,0.8411617616286857,-0.11291272722955559,1.2401837252679948
Call-only with borrow (realized),0.1341756569847219,0.705714454674303,-0.15440580731994036,0.8689806381873961
"Prior best (static hybrid, frictionless ref)",0.1942,0.928,-0.197,0.986
