Strategy,CAGR,Sharpe,MaxDD,Calmar
Naked Short TSLL,0.11927249763872516,0.46935466773233137,-0.7419970608148654,0.1607452427206914
Static Convexity Protection (full notional),0.19423785403050164,0.9278615424607305,-0.19698583745753695,0.9860498426561876
Drawdown-Constrained Convexity Protection (Call),0.1400325266857192,0.8411617616286857,-0.11291272722955559,1.2401837252679948
Drawdown-Constrained Convexity Protection (Collar),0.1568960043882739,0.8986405757968051,-0.1228828564919594,1.2767932717981705
