bucket,target_dte,roll_dte,CAGR,Max DD,Sharpe
10% OTM,30,3,0.29588024786477307,-0.25121677859557,1.0157744819900396
10% OTM,45,5,0.2615295384218208,-0.32756051750996995,0.9402801413122169
10% OTM,60,5,0.2931555995340802,-0.21894434964736353,1.0052004099440386
10% OTM,90,5,0.33296220544542066,-0.2052893015139413,1.0164794304319684
ATM,120,60,-1.0,-1.137320919902007,0.7237101400407006
ATM,150,45,-1.0,-1.1028058553076276,0.5649585608506565
20% OTM,180,60,-0.1883613233356145,-0.9152255551425953,0.6145359456974391
