target_dte,3,5,7,10,14,21,30,45,60
30,-0.3359765152941332,-0.542512474233029,-0.5420861213187474,-0.5725638833847624,-1.1290200716703582,-1.0531939667991754,,,
45,-0.32762282614739935,-0.3483128006477707,-0.3483128006477707,-0.5783472152612005,-0.6936068243996291,-0.8979840190490632,-0.9457962893614769,,
60,-0.48277319594487533,-0.5177571322289147,-0.5177571322289147,-0.4531279507007474,-0.6560905867644764,-0.8955579554293452,-0.4916961122168306,-1.781543178910918,
90,-0.40669424295229584,-0.34103854946669854,-0.34103854946669854,-0.3409909000930682,-0.3921559212024408,-0.5336362896498961,-0.5800862709875527,-1.2257998221828363,-1.1992344295572643
120,-0.33731222810772954,-0.2843695393994339,-0.2843695393994339,-0.43475845708732097,-0.5382612024128304,-0.5164898121379528,-0.43956342062296305,-0.60776416075806,-0.6801110206031173
150,-0.4481381334251251,-0.4272055660464763,-0.4272055660464763,-0.6864140319964536,-0.509097239582355,-0.5756086542094505,-0.8850577838890653,-0.8020425405876082,-0.5447196970968393
180,-0.43046171430309255,-0.4272055660464763,-0.4272055660464763,-0.5385856886543692,-0.43697598394636905,-0.6142449482928752,-0.8682658928935247,-0.8166088455037454,-0.6031294770581052
