target_dte,3,5,7,10,14,21,30,45,60
30,-0.307853616505094,-0.47641394196742226,-0.4740029169291944,-0.488668868230689,-0.9005295117547477,-0.39562948998214975,,,
45,-0.271250835274359,-0.2833704269021985,-0.2833704269021985,-0.521688852306974,-0.6601193977927151,-0.5243661830320157,-0.22807514335316692,,
60,-0.4253261970604154,-0.4041738480518535,-0.4041738480518535,-0.3656597896297962,-0.4492345468033816,-0.5945566428085455,-0.22846249485357806,-0.3055166396336374,
90,-0.38701715311930474,-0.2881128349185088,-0.2881128349185088,-0.232874885791574,-0.43028781088863777,-0.32485874862316766,-0.28053681301036737,-0.5613678561407535,-0.24024152793996345
120,-0.32839568642564576,-0.3995208914595244,-0.3995208914595244,-0.31588866361457235,-0.5184689152597611,-0.37083439525741313,-0.4032642719894357,-0.4336763007327247,-0.3431307658041447
150,-0.30295802828969065,-0.28800945133337363,-0.28800945133337363,-0.3121308727645433,-0.3173755747318193,-0.37092290997259214,-0.4699174322815358,-0.34987008053207125,-0.4465298632192912
180,-0.5936703487814666,-0.6182500230536578,-0.6182500230536578,-0.28800945133337363,-0.3023828389864379,-0.3450412504675525,-0.3621652386758317,-0.3672183470725582,-0.48291861496419375
210,-0.5182006547329356,-0.5277884887988855,-0.5277884887988855,-0.2933663686186859,-0.3427204011661683,-0.2631167849249223,-0.27511925505838364,-0.1992346108322962,-0.47861747950354083
240,-0.5046459397320179,-0.5072124047023377,-0.5072124047023377,-0.2933663686186859,-0.33145620273916254,-0.2631167849249223,-0.2968393644848296,-0.2038972647274736,-0.470279273065071
270,-0.5046459397320179,-0.5072124047023377,-0.5072124047023377,-0.2933663686186859,-0.33145620273916254,-0.31047724648115926,-0.2968393644848296,-0.28935326844884235,-0.470279273065071
