target_dte,3,5,7,10,14,21,30,45,60
30,-0.19488404622427702,-0.2643433398561045,-0.2604322909116995,-0.2795602917059138,-0.37759016167103454,-0.20966936172053985,,,
45,-0.22759962710643356,-0.22930259643266782,-0.22930259643266782,-0.34875289589465297,-0.35401228663189066,-0.33687562827724005,-0.21135535348982737,,
60,-0.2926751756273077,-0.206182043754794,-0.206182043754794,-0.22396574911013634,-0.25683964989204633,-0.3360821307530306,-0.27333988303191625,-0.3908440424485937,
90,-0.31482866723245806,-0.25069243004149844,-0.25069243004149844,-0.1751448332951825,-0.2694987823053343,-0.24176814604338026,-0.20296392511259675,-0.36320830674821025,-0.18294469655111967
120,-0.2282771664857367,-0.22078523368656988,-0.22078523368656988,-0.24829707937814738,-0.31720682830941105,-0.27283965064219284,-0.23181021643148947,-0.32954466951557015,-0.1958314682986778
150,-0.16556133725155542,-0.5041084534802931,-0.5041084534802931,-0.542700671809971,-0.4660258121777605,-0.317646831516435,-0.3523763439045695,-0.31654471612926216,-0.19116618385609918
180,-0.35088151340214746,-0.3485425473043453,-0.3485425473043453,-0.3630161709811993,-0.2497032039498922,-0.23877953847275002,-0.35125980150576175,-0.3106928728655538,-0.5363941918478463
210,-0.3728133759846102,-0.34315182979795256,-0.34315182979795256,-0.3201935941157319,-0.24855568309643594,-0.21243800055131357,-0.28728501992371547,-0.3069919990431704,-0.4725164539458677
240,-0.32717111449665826,-0.3220294088066571,-0.3220294088066571,-0.3201935941157319,-0.24227228817855473,-0.21166871962685485,-0.28728501992371547,-0.302925367698613,-0.5032566833155906
270,-0.32717111449665826,-0.3220294088066571,-0.3220294088066571,-0.28525152587308267,-0.2259661635230047,-0.2122603397301236,-0.28728501992371547,-0.33329801387878466,-0.507105500035087
