bucket,target_dte,roll_dte,CAGR,Max DD,Sharpe
10% OTM,30,3,0.38819365353435686,-0.19488404622427702,1.373643347761305
10% OTM,45,5,0.33309100319969653,-0.22930259643266782,1.2134172218693986
10% OTM,60,5,0.33809112693807575,-0.206182043754794,1.1779190386837413
10% OTM,90,10,0.29917860184185274,-0.1751448332951825,1.05563278247146
10% OTM,120,5,0.26283168989307115,-0.22078523368656988,0.8928281118672083
10% OTM,150,3,0.21656753856457622,-0.16556133725155542,0.8171290755531281
20% OTM,180,60,0.10421925124909448,-0.765194375974606,0.5350231189023472
10% OTM,210,14,0.12834751848610804,-0.24855568309643594,0.532966297559152
10% OTM,240,3,0.14845268679852208,-0.32717111449665826,0.5569112587860312
10% OTM,270,14,0.13519722983239602,-0.2259661635230047,0.5664414617223066
