Strategy,CAGR,Ann. Vol,Sharpe,Max DD,Calmar,bucket,target_dte,roll_dte,stop_loss_rolls,misses
ATM/30/3,0.28009276858392584,0.38268251538821685,0.8248112632488293,-0.307853616505094,0.9098245190804545,ATM,30,3,76,0
ATM/30/5,0.11813241042110367,0.43153981697151417,0.4591275502551848,-0.47641394196742226,0.2479616988815615,ATM,30,5,68,0
ATM/30/7,0.11912483537348084,0.43130315796781377,0.4612216654855138,-0.4740029169291944,0.25131667152013637,ATM,30,7,68,0
ATM/30/10,-0.018447758912382373,0.42745266514643965,0.1546057732050666,-0.488668868230689,-0.037751041884816004,ATM,30,10,53,0
ATM/30/14,-0.44016413423586365,0.6965270560316417,-0.4942119567503054,-0.9005295117547477,-0.4887836861428024,ATM,30,14,45,0
ATM/30/21,-0.026492250988506494,0.3686108649047288,0.10744980197080004,-0.39562948998214975,-0.06696227571332407,ATM,30,21,32,0
ATM/45/3,0.27825184438297224,0.3881927473245768,0.8244034355231983,-0.271250835274359,1.025810092350617,ATM,45,3,56,0
ATM/45/5,0.22240582724466273,0.375000766172323,0.7205120345921516,-0.2833704269021985,0.7848589906716805,ATM,45,5,58,0
ATM/45/7,0.22240582724466273,0.375000766172323,0.7205120345921516,-0.2833704269021985,0.7848589906716805,ATM,45,7,58,0
ATM/45/10,-0.009681875889391955,0.36711303864646616,0.15222782416608407,-0.521688852306974,-0.018558717224984735,ATM,45,10,49,0
ATM/45/14,-0.17955945911242877,0.44996779713957963,-0.2210932885974202,-0.6601193977927151,-0.2720105782572571,ATM,45,14,45,0
ATM/45/21,-0.04013312504314093,0.3883484351839444,0.08523999578252041,-0.5243661830320157,-0.07653644789044407,ATM,45,21,53,0
ATM/45/30,0.12117724840266697,0.27979582988067214,0.5506686121979321,-0.22807514335316692,0.531304054537096,ATM,45,30,37,0
ATM/60/3,0.16538884518453512,0.427406886324008,0.5712968037734945,-0.4253261970604154,0.3888517714817422,ATM,60,3,43,0
ATM/60/5,0.22748753849839232,0.37892250108398595,0.7301812174991501,-0.4041738480518535,0.5628457645018309,ATM,60,5,46,0
ATM/60/7,0.22748753849839232,0.37892250108398595,0.7301812174991501,-0.4041738480518535,0.5628457645018309,ATM,60,7,46,0
ATM/60/10,0.1056544919190392,0.3692176119634798,0.4553546256281624,-0.3656597896297962,0.2889420573862022,ATM,60,10,43,0
ATM/60/14,-0.012518714267165332,0.39623089269773015,0.16330821256257555,-0.4492345468033816,-0.027866766606096417,ATM,60,14,38,0
ATM/60/21,-0.1105775359496114,0.4780610644260253,-0.00951861393895236,-0.5945566428085455,-0.1859831813959208,ATM,60,21,45,0
ATM/60/30,0.12670586805841833,0.29949497084920357,0.5499552479691658,-0.22846249485357806,0.5546024879909689,ATM,60,30,37,0
ATM/60/45,-0.016211946989985848,0.2918740413703713,0.08970165881712057,-0.3055166396336374,-0.053064039357812155,ATM,60,45,25,0
ATM/90/3,0.18523550546788115,0.4348579268843724,0.6031812532279602,-0.38701715311930474,0.47862350279544097,ATM,90,3,38,0
ATM/90/5,0.17580548274287433,0.3914238700900293,0.6072580945642515,-0.2881128349185088,0.6101966363025791,ATM,90,5,40,0
ATM/90/7,0.17580548274287433,0.3914238700900293,0.6072580945642515,-0.2881128349185088,0.6101966363025791,ATM,90,7,40,0
ATM/90/10,0.17787194371864112,0.36515858736449053,0.6291200718314625,-0.232874885791574,0.763809043272441,ATM,90,10,35,0
ATM/90/14,0.0601762357199378,0.42623221505783626,0.3468663124961643,-0.43028781088863777,0.1398511280058359,ATM,90,14,35,0
ATM/90/21,0.10520274177487865,0.43248898121643103,0.4439651659208652,-0.32485874862316766,0.32384149178913635,ATM,90,21,34,0
ATM/90/30,0.030045979111547938,0.3528437510597074,0.2601921957508293,-0.28053681301036737,0.10710173395474332,ATM,90,30,32,0
ATM/90/45,-0.1475756532304464,0.39401598192214254,-0.211086517654188,-0.5613678561407535,-0.2628858272096084,ATM,90,45,20,0
