bucket,target_dte,roll_dte,CAGR,Max DD,Sharpe
10% OTM,30,3,0.29588024786477307,-0.25121677859557,1.0157744819900396
10% OTM,90,5,0.33296220544542066,-0.2052893015139413,1.0164794304319684
10% OTM,90,7,0.33296220544542066,-0.2052893015139413,1.0164794304319684
10% OTM,60,10,0.24813252285668952,-0.22141215256863533,0.8781819913760918
10% OTM,90,14,0.15266226102017244,-0.2721045037473223,0.5799003206946978
ATM,45,21,-1.0,-1.356374073609659,0.7166193278093481
ATM,45,30,-1.0,-1.6075219626546255,0.4615024121724804
10% OTM,60,45,-1.0,-1.7086911436956191,0.6959970107036755
ATM,120,60,-1.0,-1.137320919902007,0.7237101400407006
