Start Date,End Date,Total Return,Annualized Return,Daily Vol,Annualized Vol,Max Drawdown,Worst 1D Return,Best 1D Return
2024-09-04,2026-06-12,318.40%,176.04%,4.07%,64.58%,-40.61%,-12.05%,23.99%
2024-09-04,2026-06-12,630.15%,587.71%,8.12%,128.95%,-70.20%,-24.56%,47.24%
