Metric,Value
Regression Alpha,-0.0003791940099227901
Regression Beta / Realized Leverage,1.9963543097510195
Target Leverage,2.0
Beta Difference from Target,-0.0036456902489805376
R-squared,0.9996821523863813
Mean Daily Tracking Error,-0.00039391321664221667
Tracking Error Volatility,0.0014557942943711217
