Metric,Value
20D Rolling Beta Mean,1.9941615944859994
20D Rolling Beta Median,1.9933991152939725
20D Rolling Beta Min,1.9331239592976788
20D Rolling Beta Max,2.02331514892434
60D Rolling Beta Mean,1.9956798912440434
60D Rolling Beta Median,1.9943140500756642
60D Rolling Beta Min,1.985959560190088
60D Rolling Beta Max,2.008534264832794
